ID,Guitar Name,Model,Price,Old Price,Discount,Status
1,Yamaha,EG 112 GPII HII Black Električna gitara,327 €,N/A,N/A,Na skladištu
2,Yamaha,RSS20 Swift Blue Električna gitara,749 €,N/A,N/A,Na skladištu
3,Pasadena,ST-11 Set White Električna gitara,180 €,N/A,N/A,Na skladištu
4,Pasadena,ST-11 SSS White Električna gitara,115 €,N/A,N/A,Na skladištu
5,Pasadena,ST-11 SSS Black Električna gitara,117 €,N/A,N/A,Na skladištu
6,Pasadena,ST-11 Black Električna gitara,183 €,N/A,N/A,Na skladištu
7,Fender,Squier Sonic Stratocaster HSS MN Black Električna gitara,199 €,N/A,N/A,Na skladištu
8,Fender,Squier Affinity Series Stratocaster HSS Pack LRL Charcoal Frost Metallic Električna gitara,441 €,N/A,N/A,Na skladištu
9,Pasadena,ST-MB Mahogany Električna gitara,115 €,N/A,N/A,Na skladištu
10,Pasadena,ST-MB SET Mahogany Električna gitara,171 €,N/A,N/A,Na skladištu
11,Pasadena,EK-002 Natural Električna gitara,"93,60 €",N/A,N/A,Na skladištu
12,Pasadena,EK-001 Natural Električna gitara,82 €,N/A,N/A,Na skladištu
13,SX,SE1 Black Električna gitara,253 €,N/A,N/A,Na skladištu
14,ESP,LTD F-10KIT Black Električna gitara,293 €,N/A,N/A,Na skladištu
15,Pasadena,ST-11 HSS Sky Blue Električna gitara,105 €,N/A,N/A,Na skladištu
16,Fender,Squier Sonic Stratocaster Pack Black Električna gitara,321 €,N/A,N/A,Na skladištu
17,Fender,Squier Sonic Stratocaster Pack 2-Color Sunburst Električna gitara,274 €,N/A,N/A,Na skladištu
18,Fender,Squier Sonic Stratocaster HT MN Arctic White Električna gitara,172 €,N/A,N/A,Na skladištu
19,Pasadena,LP-19 Black Električna gitara,143 €,N/A,N/A,Na skladištu
20,Pasadena,LP-19 Black SET Black Električna gitara,204 €,N/A,N/A,Na skladištu
21,Fender,MIJ Telecaster Deluxe Mahogany RW Mahogany Stain Električna gitara (Samo otvarano),"1.342,13 €",N/A,N/A,Na skladištu
22,Pasadena,TL10 Blonde Električna gitara,107 €,N/A,N/A,Na skladištu
23,Pasadena,TL10B Blonde Električna gitara,176 €,N/A,N/A,Na skladištu
24,Fender,Squier Affinity Series Stratocaster HSS Pack MN Lake Placid Blue Električna gitara,360 €,N/A,N/A,Na skladištu
25,Epiphone,Shinichi Ubukata ES-355 Custom Bigsby Ebony Jazz gitara,1.379 €,N/A,N/A,Na skladištu
26,Epiphone,Shinichi Ubukata ES-355 Custom Bigsby Ebony Jazz gitara (Skoro novo),1.250 €,"1.335,51 €",- 6 %,Na skladištu
27,Pasadena,LP-19 Sunburst Električna gitara,125 €,N/A,N/A,Na skladištu
28,Pasadena,LP-19 Sunburst SET Sunburst Električna gitara,194 €,N/A,N/A,Na skladištu
29,Ibanez,GRG121DX-WNF Walnut Flat Električna gitara,281 €,N/A,N/A,Na skladištu
30,Pasadena,TL-10 Black Električna gitara,125 €,N/A,N/A,Na skladištu
31,Ibanez,GRG131DX-BKF Black Flat Električna gitara,291 €,N/A,N/A,Na skladištu
32,Jackson,JS1X Rhoads Minion AH FB Satin Black Električna gitara,177 €,N/A,N/A,Na skladištu
33,Jackson,JS32T King V AH Gloss Black Električna gitara,325 €,N/A,N/A,Na skladištu
34,Pasadena,ST-11 HSS Pink Električna gitara,111 €,N/A,N/A,Na skladištu
